Text,Sentiment,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Tokenized_Text,No_Stopwords,Lemmatized_Text,Cleaned_Text
 Enjoying a beautiful day at the park!              ,Positive, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,"['enjoying', 'a', 'beautiful', 'day', 'at', 'the', 'park', '!']","['enjoying', 'beautiful', 'day', 'park', '!']","['enjoy', 'beautiful', 'day', 'park', '!']","['enjoy', 'beautiful', 'day', 'park']"
 Traffic was terrible this morning.                 ,Negative, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,"['traffic', 'was', 'terrible', 'this', 'morning', '.']","['traffic', 'terrible', 'morning', '.']","['traffic', 'terrible', 'morning', '.']","['traffic', 'terrible', 'morning']"
 Just finished an amazing workout! 💪               ,Positive, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,"['just', 'finished', 'an', 'amazing', 'workout', '!', '💪']","['finished', 'amazing', 'workout', '!', '💪']","['finish', 'amaze', 'workout', '!', '💪']","['finish', 'amazed', 'lookout']"
 Excited about the upcoming weekend getaway!        ,Positive, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,"['excited', 'about', 'the', 'upcoming', 'weekend', 'getaway', '!']","['excited', 'upcoming', 'weekend', 'getaway', '!']","['excite', 'upcoming', 'weekend', 'getaway', '!']","['excite', 'coming', 'weekend', 'gateway']"
 Trying out a new recipe for dinner tonight.        ,Neutral, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,"['trying', 'out', 'a', 'new', 'recipe', 'for', 'dinner', 'tonight', '.']","['trying', 'new', 'recipe', 'dinner', 'tonight', '.']","['try', 'new', 'recipe', 'dinner', 'tonight', '.']","['try', 'new', 'recipe', 'dinner', 'tonight']"
 Feeling grateful for the little things in life.    ,Positive, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,"['feeling', 'grateful', 'for', 'the', 'little', 'things', 'in', 'life', '.']","['feeling', 'grateful', 'little', 'things', 'life', '.']","['feel', 'grateful', 'little', 'thing', 'life', '.']","['feel', 'grateful', 'little', 'thing', 'life']"
 Rainy days call for cozy blankets and hot cocoa.   ,Positive, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,"['rainy', 'days', 'call', 'for', 'cozy', 'blankets', 'and', 'hot', 'cocoa', '.']","['rainy', 'days', 'call', 'cozy', 'blankets', 'hot', 'cocoa', '.']","['rainy', 'day', 'call', 'cozy', 'blanket', 'hot', 'cocoa', '.']","['rainy', 'day', 'call', 'copy', 'blanket', 'hot', 'cocoa']"
 The new movie release is a must-watch!             ,Positive, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,"['the', 'new', 'movie', 'release', 'is', 'a', 'must-watch', '!']","['new', 'movie', 'release', 'must-watch', '!']","['new', 'movie', 'release', 'must-watch', '!']","['new', 'movie', 'release', 'must-watch']"
 Political discussions heating up on the timeline.  ,Negative, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,"['political', 'discussions', 'heating', 'up', 'on', 'the', 'timeline', '.']","['political', 'discussions', 'heating', 'timeline', '.']","['political', 'discussion', 'heating', 'timeline', '.']","['political', 'discussion', 'heating', 'timeline']"
 Missing summer vibes and beach days.               ,Neutral, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,"['missing', 'summer', 'vibes', 'and', 'beach', 'days', '.']","['missing', 'summer', 'vibes', 'beach', 'days', '.']","['miss', 'summer', 'vibe', 'beach', 'day', '.']","['miss', 'summer', 'vice', 'beach', 'day']"
